217-1	GEORGIA2010_00001	2009/09/04	31675	juvenile	\N	\N	normal	live	\N	\N	10	cloacal swab
217-2	GEORGIA2010_00002	2009/09/04	31675	adult	\N	\N	normal	live	\N	\N	10	cloacal swab
217-3	GEORGIA2010_00003	2009/09/10	3228	adult	\N	\N	normal	live	\N	\N	10	cloacal swab
217-4	GEORGIA2010_00004	2009/09/10	3228	adult	\N	\N	normal	live	\N	\N	10	cloacal swab
217-5	GEORGIA2010_00005	2009/09/10	3228	adult	\N	\N	normal	live	\N	\N	10	cloacal swab
217-6	GEORGIA2010_00006	2009/09/10	31675	adult	\N	\N	normal	live	\N	\N	10	cloacal swab
217-7	GEORGIA2010_00007	2009/09/10	31675	adult	\N	\N	normal	live	\N	\N	10	cloacal swab
217-8	GEORGIA2010_00008	2009/09/10	31675	juvenile	\N	\N	normal	live	\N	\N	10	cloacal swab
217-9	GEORGIA2010_00009	2009/09/10	31675	adult	\N	\N	normal	live	\N	\N	10	cloacal swab
217-10	GEORGIA2010_00010	2009/10/16	31675	adult	\N	\N	normal	live	\N	\N	11	cloacal swab
217-11	GEORGIA2010_00011	2009/10/16	8453	adult	\N	\N	normal	live	\N	\N	11	cloacal swab
217-12	GEORGIA2010_00012	2009/09/05	2903	adult	\N	\N	normal	live	\N	\N	5	cloacal swab
217-13	GEORGIA2010_00013	2009/09/05	2903	adult	\N	\N	normal	live	\N	\N	5	cloacal swab
217-14	GEORGIA2010_00014	2009/09/11	2903	adult	\N	\N	normal	live	\N	\N	5	cloacal swab
217-15	GEORGIA2010_00015	2009/09/12	2903	adult	\N	\N	normal	live	\N	\N	5	cloacal swab
217-16	GEORGIA2010_00016	2009/09/12	31051	adult	\N	\N	normal	live	\N	\N	5	cloacal swab
217-17	GEORGIA2010_00017	2009/09/12	2903	adult	\N	\N	normal	live	\N	\N	5	cloacal swab
217-18	GEORGIA2010_00018	2009/09/12	2903	adult	\N	\N	normal	live	\N	\N	5	cloacal swab
217-19	GEORGIA2010_00019	2009/09/13	2903	adult	\N	\N	normal	live	\N	\N	5	cloacal swab
217-20	GEORGIA2010_00020	2009/09/13	2903	adult	\N	\N	normal	live	\N	\N	5	cloacal swab
217-21	GEORGIA2010_00021	2009/09/13	2903	adult	\N	\N	normal	live	\N	\N	5	cloacal swab
217-22	GEORGIA2010_00022	2009/09/13	2903	adult	\N	\N	normal	live	\N	\N	5	cloacal swab
217-23	GEORGIA2010_00023	2009/09/13	2903	adult	\N	\N	normal	live	\N	\N	5	cloacal swab
217-24	GEORGIA2010_00024	2009/09/13	2870	adult	\N	\N	normal	live	\N	\N	5	cloacal swab
217-25	GEORGIA2010_00025	2009/09/13	31051	adult	\N	\N	normal	live	\N	\N	5	cloacal swab
217-27	GEORGIA2010_00027	2009/09/25	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-28	GEORGIA2010_00028	2009/09/25	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-29	GEORGIA2010_00029	2009/10/04	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-30	GEORGIA2010_00030	2009/10/04	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-31	GEORGIA2010_00031	2009/10/04	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-32	GEORGIA2010_00032	2009/10/04	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-33	GEORGIA2010_00033	2009/10/06	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-34	GEORGIA2010_00034	2009/10/06	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-35	GEORGIA2010_00035	2009/10/06	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-36	GEORGIA2010_00036	2009/10/06	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-37	GEORGIA2010_00037	2009/10/06	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-38	GEORGIA2010_00038	2009/10/06	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-39	GEORGIA2010_00039	2009/10/06	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-40	GEORGIA2010_00040	2009/10/06	3000	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-41	GEORGIA2010_00041	2009/10/06	435	adult	\N	\N	normal	live	\N	\N	5	cloacal swab
217-42	GEORGIA2010_00042	2009/10/06	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-43	GEORGIA2010_00043	2009/10/06	2870	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-44	GEORGIA2010_00044	2009/10/06	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-45	GEORGIA2010_00045	2009/10/06	31051	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-46	GEORGIA2010_00046	2009/11/01	2870	\N	\N	\N	normal	live	\N	\N	5	cloacal swab
217-47	GEORGIA2010_00047	2010-01-31	435	adult	M	\N	normal	live	\N	\N	2	tracheal/op swab
217-48	GEORGIA2010_00048	2010-01-31	435	adult	M	\N	normal	live	\N	\N	2	cloacal swab
217-49	GEORGIA2010_00049	2010-01-31	435	adult	M	\N	normal	live	\N	\N	2	tracheal/op swab
217-50	GEORGIA2010_00050	2010-01-31	435	adult	M	\N	normal	live	\N	\N	2	cloacal swab
217-51	GEORGIA2010_00051	2010-01-31	435	adult	F	\N	normal	live	\N	\N	2	tracheal/op swab
217-52	GEORGIA2010_00052	2010-01-31	435	adult	F	\N	normal	live	\N	\N	2	cloacal swab
